file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Billing-System\src\DB.java,DB,searchCashier/1[java.lang.String],false,103,1,2,1,1,3,9,14,0,3,1,9,1,1,0,0,1,0,6,0,3,2,2,0,0,0,27,9,0,false
C:\projects\Billing-System\src\DB.java,DB,searchProduct/1[java.lang.String],false,85,1,2,1,1,3,9,14,0,3,1,9,1,1,0,0,1,0,6,0,3,2,2,0,0,0,27,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"updateProduct/2[java.lang.String,int]",false,334,1,2,1,1,3,11,17,0,4,2,11,1,1,0,0,1,0,6,1,5,3,2,0,0,0,28,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"addProductToDB/4[java.lang.String,java.lang.String,java.lang.String,int]",false,34,1,2,1,1,2,7,13,0,2,4,7,1,1,0,0,1,0,6,0,2,1,1,0,0,0,29,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"addSaleToDB/3[java.lang.Object[],java.util.ArrayList<java.lang.String>,java.lang.String]",false,203,1,2,1,1,3,10,18,0,6,3,10,1,1,1,0,1,0,8,6,7,4,2,0,0,0,32,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"searchPDetail/2[java.lang.String,int]",false,173,1,2,1,1,4,11,24,1,5,2,11,1,1,0,0,1,0,12,1,8,4,5,0,0,0,34,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"varifyLogin/2[java.lang.String,java.lang.String]",false,121,1,2,1,1,3,8,16,1,4,2,8,1,1,0,0,1,0,3,0,6,1,2,0,0,0,30,9,0,false
C:\projects\Billing-System\src\DB.java,DB,main/1[java.lang.String[]],false,355,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,false
C:\projects\Billing-System\src\DB.java,DB,deleteProductToDB/1[java.lang.String],false,67,1,2,1,1,3,7,14,0,3,1,7,1,1,0,1,1,0,4,1,3,1,2,0,0,0,25,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"deleteCashier/2[java.lang.String,java.lang.String]",false,155,1,2,1,1,3,7,14,0,3,2,7,1,1,0,1,1,0,5,1,3,1,2,0,0,0,28,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"addCashier/2[java.lang.String,java.lang.String]",false,141,1,2,1,1,2,7,13,0,2,2,7,1,1,0,0,1,0,4,0,2,1,1,0,0,0,26,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"getSale/2[java.lang.String,java.lang.String]",false,223,1,3,2,1,4,11,23,1,5,2,11,1,1,1,0,1,0,10,0,6,2,2,0,0,0,30,9,0,false
C:\projects\Billing-System\src\DB.java,DB,"getPDetail/2[java.lang.String,int]",false,280,1,1,0,1,4,11,24,1,5,2,11,1,1,0,0,1,0,12,1,8,4,5,0,0,0,34,9,0,false
C:\projects\Billing-System\src\DB.java,DB,showStock/1[java.lang.String],false,252,1,2,1,1,4,11,23,1,5,1,11,1,1,1,0,1,0,8,0,6,1,2,0,0,0,26,9,0,false
